cps19_gender,cps19_yob,cps19_province,cps19_education,cps19_interest_elxn_1,cps19_v_likely,cps19_votechoice
2,48,24,8,4,2,3
2,64,24,7,7,1,9
1,31,20,6,6,1,5
2,52,15,5,5,1,5
1,38,20,10,9,1,1
2,51,16,7,7,1,5
2,64,24,4,7,2,9
2,71,17,11,7,1,9
2,79,14,8,NA,2,2
1,34,24,9,6,4,NA
2,53,16,9,8,1,9
2,64,14,10,6,1,1
2,62,16,9,2,2,1
1,53,22,11,10,1,3
2,34,15,5,8,2,1
1,70,24,5,8,2,1
1,52,24,8,4,2,6
2,53,16,7,9,1,3
2,59,24,7,6,1,9
2,31,22,9,10,1,5
2,67,14,8,8,1,9
2,62,22,8,8,1,1
2,39,22,11,8,1,9
1,39,14,7,6,5,NA
2,71,22,9,5,NA,NA
2,48,24,5,5,1,4
2,32,15,5,3,1,9
1,60,22,10,9,1,2
1,77,25,4,8,4,NA
2,61,22,8,8,NA,NA
1,44,24,9,8,2,3
2,24,15,9,NA,1,9
1,39,24,5,8,1,4
2,31,16,9,8,1,2
1,50,24,10,7,1,1
1,33,22,9,9,2,2
2,34,16,7,10,1,2
1,22,15,11,9,1,2
2,80,14,8,4,2,9
2,67,18,10,10,NA,NA
2,53,17,11,9,1,1
2,75,20,5,2,2,9
2,73,15,10,7,2,9
2,60,14,10,9,1,1
2,43,20,10,7,1,1
2,66,22,5,7,2,1
1,28,22,5,8,1,2
1,34,24,4,8,1,4
1,69,14,9,7,2,2
2,51,22,9,3,1,3
2,55,24,9,8,1,4
2,28,14,8,5,1,9
1,57,22,7,10,1,2
2,67,24,9,2,1,9
2,61,24,6,9,1,1
2,61,14,9,9,1,1
2,47,22,7,9,1,2
2,49,15,7,6,1,2
1,63,22,6,9,1,3
2,55,25,7,10,1,2
2,53,22,9,7,1,1
2,40,15,5,10,1,6
1,59,24,9,6,1,9
1,27,22,11,10,1,1
2,68,14,10,3,1,2
2,71,15,8,7,1,2
2,61,22,7,3,1,9
2,24,14,7,8,1,9
1,34,24,8,7,2,4
2,70,22,10,8,1,9
2,49,14,9,7,1,2
1,66,24,9,5,1,5
1,46,20,5,6,2,1
1,58,14,8,8,1,2
2,46,24,10,7,1,9
1,35,15,7,7,1,2
2,69,22,10,6,NA,NA
2,45,14,9,8,NA,NA
1,48,15,5,4,1,3
1,59,22,9,7,1,3
1,37,17,7,7,1,5
2,61,22,9,7,1,1
2,44,22,7,10,1,1
2,55,18,7,0,1,2
2,81,22,8,8,1,2
2,64,24,6,6,1,9
1,62,14,9,6,1,2
2,77,25,8,5,2,3
2,54,22,10,7,2,2
1,32,24,10,8,1,2
1,54,17,9,7,1,1
1,39,14,11,10,1,2
2,39,15,8,8,1,2
2,59,24,9,3,1,9
2,54,14,9,8,1,2
2,66,25,9,10,6,NA
2,77,22,9,6,1,9
2,64,15,9,10,1,1
1,65,23,9,10,1,5
2,48,15,9,9,1,5
2,74,16,9,7,2,2
2,65,24,9,NA,1,9
2,57,24,5,NA,1,9
2,49,24,7,8,1,9
1,35,16,7,NA,2,9
2,24,24,5,8,1,9
1,33,16,6,10,1,2
2,67,18,9,NA,1,3
1,73,14,7,10,1,2
1,27,15,5,3,1,9
1,60,24,9,10,1,1
2,40,22,6,7,2,9
2,28,24,8,8,1,1
2,51,22,7,10,1,2
2,78,14,9,6,1,2
2,33,22,5,7,2,2
2,64,24,7,10,1,5
1,39,16,7,7,1,1
2,64,24,7,10,1,1
1,48,22,9,7,1,2
2,41,14,9,10,1,2
1,56,24,9,8,4,NA
1,55,24,6,8,1,4
1,72,22,10,6,2,3
1,35,15,10,10,1,9
1,72,22,9,9,1,1
1,32,25,5,9,1,2
1,46,22,9,9,1,2
1,66,17,9,8,1,5
1,29,14,9,NA,1,9
1,62,20,9,8,2,1
2,41,22,6,10,1,2
1,27,15,8,10,1,1
2,23,16,11,NA,1,2
2,44,15,4,10,1,2
2,35,22,8,10,1,1
1,35,16,9,9,1,1
2,32,22,5,9,1,1
2,45,22,11,8,1,2
2,42,22,5,8,1,2
2,46,22,9,6,2,2
2,55,22,8,10,1,1
2,46,15,5,5,1,2
1,77,24,8,7,1,3
1,32,16,11,8,2,9
2,73,25,5,10,1,7
1,36,20,7,9,1,5
1,49,22,10,8,1,1
1,51,17,10,9,1,1
2,66,24,9,8,1,1
2,43,20,7,10,1,1
2,31,24,5,NA,4,NA
2,57,24,8,7,1,2
1,40,24,9,8,1,9
1,46,20,6,9,1,2
1,44,14,6,8,1,2
1,35,15,6,10,6,NA
2,46,18,7,9,1,9
1,31,15,10,10,1,9
1,75,24,7,7,2,2
1,29,24,7,8,1,6
2,64,14,4,10,1,2
1,35,22,9,9,1,3
2,53,15,7,6,3,NA
2,41,22,7,8,1,6
2,42,14,5,9,1,2
1,59,14,6,2,1,1
1,62,22,5,10,1,2
1,59,22,9,9,1,1
2,54,15,7,8,1,5
2,46,15,8,NA,1,5
1,31,24,7,6,1,2
1,71,17,7,7,1,5
1,69,17,6,7,1,1
2,34,20,8,6,2,1
1,49,22,10,7,1,2
2,59,24,8,7,1,4
2,55,22,7,7,1,2
1,58,22,7,2,1,3
1,48,24,7,7,2,9
2,64,25,6,6,1,3
1,45,16,9,7,1,2
2,66,17,9,6,2,1
2,34,22,6,8,1,1
1,61,22,8,6,1,1
2,41,22,6,8,1,3
2,32,22,5,7,1,9
2,38,24,5,9,1,5
2,61,15,9,10,1,9
2,49,22,9,7,1,2
2,29,24,5,10,1,1
2,59,15,6,4,1,5
1,36,16,9,10,1,1
2,68,22,11,7,2,3
1,47,22,7,NA,2,1
1,38,25,10,9,2,6
2,32,25,8,9,1,2
1,45,22,6,8,1,2
2,80,24,5,3,2,3
2,45,15,7,8,1,2
2,35,22,7,8,1,2
2,41,14,5,7,1,2
2,24,22,9,10,1,3
2,49,16,11,4,1,1
2,67,24,11,7,1,3
2,33,15,8,8,1,3
2,40,15,9,8,1,2
2,37,16,6,9,1,2
1,53,22,4,0,2,1
2,51,24,10,7,1,1
2,49,22,10,10,1,1
2,33,20,11,8,1,5
1,22,22,5,9,1,2
1,69,22,7,0,4,NA
2,68,18,7,6,2,1
1,45,22,9,10,1,2
1,43,24,9,8,1,1
1,32,16,8,10,1,2
1,68,22,9,3,1,5
1,81,22,7,6,NA,NA
2,38,24,6,2,1,2
1,28,15,7,8,1,9
2,78,24,9,7,1,3
1,50,24,9,2,2,4
1,29,24,10,6,1,4
1,29,24,7,10,1,4
1,44,22,7,9,1,2
2,72,22,7,9,1,3
2,52,16,7,6,1,1
1,44,16,10,7,1,1
2,22,22,7,9,1,2
1,35,15,9,6,1,1
1,80,22,8,6,1,3
2,27,15,7,3,1,9
1,33,24,5,9,1,2
2,77,14,5,9,NA,NA
1,25,22,7,5,1,1
2,59,24,5,3,2,3
2,37,25,5,3,1,2
1,23,24,6,7,1,4
1,40,22,9,8,1,1
1,33,24,7,NA,1,1
1,41,22,6,6,2,9
2,68,14,6,10,1,2
2,49,22,9,8,1,1
1,33,22,10,7,1,5
2,48,24,9,9,1,1
1,45,14,6,7,1,2
1,77,25,10,10,1,1
2,48,14,7,7,1,2
1,38,25,5,10,1,2
2,41,22,7,NA,1,2
1,17,24,6,9,1,1
1,61,22,6,8,2,1
1,47,14,8,8,1,2
2,70,15,7,7,NA,NA
2,52,15,7,9,1,9
2,67,22,9,9,1,1
1,46,22,11,8,1,1
1,50,16,8,7,1,1
1,21,16,6,10,1,2
2,39,14,4,8,1,1
1,48,24,9,8,1,9
1,77,23,10,10,1,1
2,23,22,4,8,1,9
1,40,15,8,NA,2,1
1,37,22,10,8,1,2
1,28,24,9,NA,1,7
2,22,14,6,9,1,2
1,80,24,7,3,2,1
1,59,24,6,5,4,NA
2,56,15,11,7,2,2
1,65,22,9,6,2,1
2,43,24,6,8,1,9
1,62,22,5,10,1,2
1,56,16,9,10,1,2
2,54,14,10,5,1,9
1,29,22,7,10,1,1
1,19,15,6,8,1,2
2,58,24,7,6,1,4
2,52,24,6,6,1,4
1,40,24,6,10,1,4
2,60,23,7,1,1,9
1,60,14,7,10,1,2
1,18,22,7,10,1,2
2,41,22,6,8,1,9
1,34,24,5,9,1,9
1,32,24,9,10,1,9
2,58,22,9,8,1,3
1,37,14,10,7,1,1
2,67,14,9,6,1,1
1,43,25,6,7,1,2
1,15,22,8,8,1,9
2,41,24,6,7,3,NA
2,19,15,6,6,1,9
1,73,20,9,7,1,1
1,55,16,9,10,1,1
1,24,24,6,NA,1,2
1,30,22,4,10,1,2
1,32,22,7,9,1,9
2,56,22,3,NA,2,1
2,56,14,7,10,1,2
1,51,22,8,8,1,9
1,33,22,11,8,1,1
1,36,22,9,9,1,2
1,46,22,7,7,1,2
2,41,22,6,8,1,2
1,25,24,8,9,1,4
1,25,22,5,10,1,1
1,28,22,6,5,1,9
1,32,22,6,10,1,6
1,42,22,8,4,1,9
2,43,22,7,7,1,3
2,57,14,7,7,1,9
1,35,22,4,7,2,2
1,23,24,7,8,1,4
1,25,24,4,8,1,2
2,40,24,5,8,1,9
2,23,22,9,8,1,1
1,27,24,7,7,1,4
1,32,16,6,7,1,1
1,44,24,5,9,1,2
2,36,22,7,9,1,1
1,41,24,7,9,1,2
1,30,24,10,7,2,5
2,66,14,7,9,1,2
1,47,22,11,10,1,2
1,39,14,7,4,1,2
1,12,22,8,10,1,2
1,27,22,10,10,1,2
1,58,25,5,7,1,3
2,28,24,5,8,4,NA
1,31,24,7,0,4,NA
2,31,22,4,10,1,5
1,27,22,4,10,1,2
2,66,15,9,5,NA,NA
1,75,22,7,8,1,2
1,25,22,5,9,1,1
2,59,24,7,3,1,1
1,31,15,9,10,1,2
2,35,16,5,7,1,1
2,70,22,9,NA,2,1
2,31,15,10,9,1,2
1,37,15,9,7,1,1
2,38,25,6,NA,2,9
1,41,14,5,9,1,2
1,27,22,8,10,1,9
1,26,22,10,9,1,2
1,44,22,2,10,1,6
2,38,24,6,9,4,NA
2,68,22,9,8,2,9
2,78,18,8,7,2,1
2,58,22,7,NA,1,1
2,53,22,8,3,1,5
2,47,24,6,7,1,4
1,81,22,6,10,1,2
2,46,22,9,9,1,3
2,69,22,9,9,1,3
1,65,16,6,8,1,1
1,41,14,6,3,NA,NA
2,34,24,5,5,1,9
1,30,22,5,10,1,9
1,60,14,10,8,1,5
2,68,22,9,10,NA,NA
2,32,24,7,6,1,9
2,39,20,7,8,1,3
1,52,15,5,10,1,2
1,82,15,5,2,2,3
2,33,22,7,9,1,2
1,80,22,6,6,NA,NA
1,44,22,11,9,1,1
2,74,14,9,7,1,2
1,29,15,6,8,1,2
2,44,24,7,9,1,1
2,55,14,9,10,1,2
2,20,22,11,7,1,9
2,40,15,7,9,1,1
1,69,24,5,7,1,4
2,73,24,10,4,2,5
2,42,22,4,10,4,NA
2,35,15,5,6,2,9
1,41,22,9,10,1,1
1,45,22,7,6,2,2
1,54,17,8,10,1,2
2,75,14,7,3,3,NA
2,61,24,10,10,1,1
2,70,15,9,10,NA,NA
2,38,20,10,8,1,9
2,70,14,7,6,2,2
1,56,24,9,5,2,5
2,67,15,10,7,1,1
2,69,24,10,7,1,1
2,60,14,9,3,2,2
2,75,24,4,2,2,1
2,76,15,10,10,1,3
2,57,26,7,10,1,2
2,59,22,8,6,1,2
2,52,22,5,6,1,3
1,73,22,5,8,2,9
2,36,22,7,7,1,2
1,44,15,7,9,1,1
2,40,22,8,10,1,2
2,50,20,9,10,1,2
1,64,14,7,9,1,2
2,76,22,8,9,NA,NA
2,25,22,5,7,1,1
1,39,15,5,7,1,5
2,70,22,5,7,2,3
2,27,14,6,7,1,2
2,80,22,8,5,2,3
1,66,24,5,10,1,7
2,76,24,7,7,1,1
1,45,24,10,8,1,1
1,41,25,9,10,1,2
1,23,22,9,10,1,1
2,44,18,6,8,1,3
2,58,20,9,4,3,NA
1,51,22,6,3,3,NA
2,77,14,7,7,1,1
2,66,14,7,7,1,2
2,62,15,7,1,4,NA
2,77,14,9,4,1,3
2,62,22,9,7,1,1
1,69,14,7,8,1,2
2,49,15,6,10,1,6
2,45,18,8,7,1,1
2,51,14,10,7,1,2
1,37,22,6,4,1,1
2,72,22,9,8,2,2
1,76,15,5,3,3,NA
2,78,14,5,6,2,2
2,47,22,9,8,2,2
2,69,25,9,8,1,1
1,42,14,7,4,1,2
2,45,14,6,9,1,5
1,77,24,7,6,2,3
2,51,14,8,6,3,NA
2,39,14,8,9,1,2
2,56,24,5,10,1,4
1,50,24,5,6,NA,NA
1,51,22,8,10,1,1
2,41,24,5,10,1,1
2,71,22,7,3,1,1
1,21,22,11,7,1,1
2,60,24,9,0,2,4
2,34,14,7,10,1,1
1,43,22,3,4,6,NA
2,71,17,9,6,NA,NA
2,25,24,5,7,1,4
2,75,22,9,7,1,1
2,61,15,9,5,5,NA
1,41,25,5,9,1,6
1,41,22,9,10,1,1
3,59,14,7,9,1,2
1,54,24,6,8,1,1
2,40,15,6,7,1,3
1,47,14,11,10,1,2
1,66,20,8,3,2,9
2,79,15,9,NA,NA,NA
1,65,14,9,10,1,2
1,34,22,5,8,2,1
1,37,24,5,6,1,4
2,76,22,5,8,1,3
2,35,20,7,4,1,1
2,43,24,7,3,2,4
1,52,15,9,9,1,2
2,38,24,5,3,2,2
2,68,22,7,4,3,NA
2,44,15,7,0,4,NA
2,43,22,10,7,1,5
2,75,22,7,6,2,5
2,64,22,9,10,1,1
2,35,22,5,7,1,1
2,31,22,7,10,1,1
2,66,24,7,7,1,4
1,36,25,7,9,1,2
2,76,14,5,6,1,9
1,42,22,9,7,2,1
2,49,22,7,10,1,1
2,43,24,5,2,1,9
1,61,25,9,9,1,5
1,39,22,9,9,1,2
2,40,18,8,2,3,NA
1,69,14,11,7,2,1
2,49,22,9,3,3,NA
2,43,24,5,2,1,9
2,46,22,7,1,1,5
2,58,22,9,10,1,2
2,75,14,8,10,1,1
2,67,23,9,8,NA,NA
2,73,14,5,1,2,1
2,28,15,9,10,1,9
2,44,24,9,9,1,4
2,45,22,5,6,1,2
2,26,24,9,5,1,9
2,76,14,7,10,1,3
1,44,22,8,8,1,3
1,49,15,9,8,1,1
2,78,22,6,7,1,9
2,57,15,8,8,2,2
2,29,16,5,6,1,1
2,40,22,7,8,1,3
2,37,22,8,10,1,3
2,49,25,8,1,1,5
1,77,24,5,7,3,NA
2,44,22,11,8,1,6
2,62,22,9,10,1,1
2,40,14,7,10,NA,NA
1,34,22,5,9,1,1
2,61,16,10,8,1,1
2,53,24,5,5,4,NA
2,72,24,9,8,NA,NA
1,82,16,5,4,3,NA
2,51,15,7,9,1,3
2,69,24,9,8,1,4
2,25,22,5,3,NA,NA
1,69,14,9,8,1,2
2,46,24,9,7,1,2
2,58,22,4,0,4,NA
1,56,14,10,5,1,9
1,35,22,5,8,1,2
1,68,18,4,0,NA,NA
2,40,22,5,8,1,1
1,57,24,10,8,1,1
1,23,22,8,9,1,2
2,53,15,6,10,1,5
1,44,22,7,10,1,3
2,45,22,6,1,1,9
1,41,24,7,10,1,4
2,80,14,5,2,1,1
2,42,22,5,NA,1,1
2,44,15,9,10,1,2
3,49,24,7,8,1,4
2,39,20,8,7,1,1
1,28,24,8,NA,NA,NA
1,33,15,5,8,1,1
1,47,22,7,3,2,2
2,27,24,5,6,1,2
2,40,15,9,4,1,9
2,61,14,5,6,1,2
2,37,22,8,9,1,2
2,75,22,7,8,1,2
2,41,24,7,10,1,9
2,35,15,9,8,1,1
2,72,14,9,10,1,2
1,76,15,10,8,1,7
2,43,15,6,7,1,2
2,67,22,9,8,1,3
2,81,14,4,5,5,NA
2,58,22,6,8,1,2
2,71,16,3,NA,2,9
2,68,22,9,7,1,2
2,34,22,7,7,4,NA
2,47,22,9,2,2,5
2,46,15,4,4,1,5
1,66,18,4,7,2,3
1,56,16,7,9,1,1
1,41,22,4,9,NA,NA
2,29,24,5,10,1,2
2,33,22,6,10,1,1
1,72,22,5,7,2,6
2,78,15,8,9,2,3
2,67,22,9,4,2,5
2,32,14,3,1,4,NA
2,63,25,3,5,6,NA
1,80,22,7,3,2,3
1,61,14,5,7,2,2
2,37,14,7,8,1,5
2,24,24,5,9,1,1
2,68,22,8,8,1,1
2,71,15,10,8,1,9
2,68,22,5,8,2,3
1,37,22,7,9,1,9
1,31,15,5,9,1,1
2,61,14,6,8,2,1
1,81,14,4,9,1,1
2,61,25,9,9,2,9
1,32,22,6,9,1,1
1,48,15,10,7,1,9
2,75,14,9,6,1,1
1,39,22,7,0,NA,NA
2,62,22,5,9,1,9
1,66,22,9,7,1,2
2,31,15,10,9,1,9
2,81,22,9,7,2,5
2,62,15,4,0,4,NA
2,42,15,6,4,1,3
2,61,22,6,6,2,1
2,72,24,7,8,1,9
2,43,15,9,10,1,2
2,65,24,8,7,1,1
2,33,14,6,7,1,9
2,65,22,9,9,1,5
1,65,16,7,10,1,5
1,42,22,6,2,2,9
2,58,15,5,8,1,2
2,64,22,6,5,3,NA
2,69,14,5,8,1,3
2,35,15,7,10,1,2
2,41,24,4,5,6,NA
2,43,18,6,8,2,1
1,59,22,6,7,1,3
1,70,16,9,6,NA,NA
1,30,15,7,10,1,9
2,77,15,9,4,NA,NA
2,23,22,5,3,1,3
2,67,24,5,7,1,1
2,72,24,9,8,1,9
2,59,22,9,6,1,9
1,41,22,4,0,5,NA
2,66,22,10,9,NA,NA
1,48,22,6,7,1,5
2,42,16,6,10,1,3
1,38,24,10,3,1,4
2,61,15,9,8,1,9
1,77,22,9,10,2,9
2,29,22,6,10,1,9
2,46,15,9,7,1,1
2,43,24,9,2,1,4
2,80,22,8,2,2,1
2,81,22,8,8,2,1
1,71,15,9,6,1,1
2,46,22,5,5,1,9
2,64,24,7,9,1,3
1,49,24,9,1,1,9
2,50,22,7,0,1,1
3,1,26,1,0,NA,NA
2,53,22,7,7,1,1
2,71,24,5,6,1,1
1,52,15,9,8,1,1
1,45,22,7,0,1,2
2,55,14,9,7,1,2
1,53,14,11,8,1,1
2,41,22,8,10,1,2
2,62,22,11,8,2,1
2,49,22,7,7,3,NA
2,42,24,7,8,2,1
1,36,22,8,10,1,2
2,55,15,7,4,2,9
2,60,24,7,5,2,9
1,72,22,9,9,1,2
1,44,14,6,8,1,2
1,63,15,9,8,1,9
1,56,16,9,8,1,3
1,56,24,9,5,1,3
1,66,22,7,8,1,1
2,51,15,7,9,2,1
1,33,24,5,7,1,4
1,34,24,8,10,1,9
2,39,24,10,4,1,3
1,30,15,5,5,1,1
2,35,15,9,10,1,3
1,61,16,5,10,2,3
1,60,22,7,8,1,5
2,47,24,6,7,1,1
2,51,24,7,3,1,4
2,45,24,6,NA,2,2
1,44,24,5,9,1,1
1,73,22,10,8,1,2
2,42,24,9,7,4,NA
1,41,22,9,9,1,1
1,29,24,10,6,1,1
1,67,22,5,NA,2,9
1,35,24,8,9,1,1
1,36,22,7,4,1,9
2,44,24,5,6,2,2
1,59,24,4,6,1,9
1,27,24,9,10,1,4
1,61,24,5,4,2,1
1,57,14,4,NA,2,3
1,52,22,5,6,1,1
1,37,22,7,7,1,1
1,60,16,7,6,1,9
1,57,24,11,10,1,6
1,20,22,7,9,1,6
1,50,24,9,9,1,7
2,60,24,9,6,1,9
2,64,22,9,9,1,1
1,28,24,9,10,1,2
2,31,24,6,8,1,1
2,27,22,6,3,1,9
2,29,14,4,8,1,2
2,50,15,9,7,1,1
2,34,15,6,NA,1,1
1,64,22,10,4,2,5
2,46,15,7,8,1,1
1,81,22,5,7,2,1
2,74,22,9,4,2,1
2,52,15,6,8,1,1
1,71,24,2,4,3,NA
1,60,24,5,5,1,2
2,76,24,5,4,2,1
2,58,24,6,10,1,1
1,55,14,8,6,2,5
1,25,22,11,3,1,2
2,76,22,6,3,1,9
2,58,22,6,4,1,6
1,30,22,7,7,1,2
1,51,14,9,9,1,2
2,34,22,9,8,1,1
1,27,22,7,9,1,2
2,40,15,11,8,1,5
2,54,24,9,10,1,1
1,59,14,4,2,3,NA
2,55,22,8,3,1,1
2,70,22,10,6,1,1
1,25,22,7,10,1,1
2,66,22,9,NA,2,9
2,57,22,9,10,1,3
2,48,22,4,6,1,9
1,57,14,10,10,1,1
2,43,24,9,7,1,7
1,37,15,5,7,1,9
1,60,22,7,5,3,NA
1,35,22,9,3,1,1
2,62,22,9,5,2,5
1,66,22,7,4,1,9
2,48,16,6,NA,2,2
1,48,24,7,9,1,9
2,41,22,7,8,1,3
2,39,22,10,8,1,2
2,60,22,9,7,1,2
2,75,14,6,5,3,NA
1,70,22,9,9,1,2
2,42,22,5,10,1,2
1,57,22,11,7,2,1
2,36,22,5,2,1,3
2,74,22,7,7,1,1
2,77,22,4,6,2,9
2,41,22,6,9,1,2
1,37,24,9,2,4,NA
2,49,22,9,8,1,1
2,38,14,5,10,1,2
1,60,14,4,7,1,2
1,71,22,5,6,2,5
2,22,24,9,8,1,4
2,62,24,7,9,1,2
2,53,16,9,10,1,2
2,55,22,8,6,1,1
1,37,24,8,7,1,4
2,44,22,7,7,2,3
1,46,22,5,7,NA,NA
2,60,24,12,4,1,9
1,55,22,9,9,1,2
2,41,16,8,8,1,2
1,28,22,7,9,1,1
2,44,24,9,6,2,1
2,71,14,9,10,1,1
2,56,22,10,7,1,2
1,51,22,5,9,1,9
2,38,24,5,6,3,NA
1,30,24,9,7,2,1
2,64,22,5,10,1,2
2,31,22,5,8,1,9
2,19,24,6,5,2,2
2,55,24,6,4,1,2
1,31,24,9,4,1,9
2,67,14,8,8,1,2
2,60,24,9,8,1,1
2,60,22,9,10,1,1
1,58,15,10,10,1,2
2,32,22,7,7,1,2
2,64,22,9,10,1,3
2,80,24,6,8,1,3
1,54,24,6,6,4,NA
2,32,24,9,10,1,1
2,59,22,5,5,1,1
1,29,22,6,5,1,9
2,46,24,7,7,1,1
2,51,22,9,7,2,1
1,41,25,8,6,1,3
2,63,14,8,9,1,3
1,33,14,7,10,1,2
2,23,15,8,5,1,1
1,74,15,9,5,NA,NA
2,67,14,9,10,1,3
2,67,24,5,5,1,9
1,25,24,6,7,2,2
1,27,15,8,9,1,5
2,68,22,6,6,2,2
2,58,22,9,8,1,1
1,59,25,5,9,1,2
2,59,22,9,7,1,1
1,50,22,7,10,1,1
1,28,22,9,10,1,9
1,74,24,6,6,2,9
1,77,24,7,7,1,2
2,50,24,9,5,1,1
1,46,22,9,7,1,2
2,71,22,7,NA,2,1
2,53,14,6,NA,1,2
2,63,22,7,8,2,9
2,56,22,9,6,1,1
2,40,22,3,7,1,2
1,49,22,7,8,1,1
2,57,22,7,3,6,NA
1,64,22,10,10,NA,NA
1,46,15,6,7,1,1
2,65,14,10,6,NA,NA
1,46,15,7,1,4,NA
1,32,16,5,9,1,2
2,60,22,7,NA,NA,NA
2,30,24,7,7,1,9
2,59,22,8,NA,2,1
2,38,22,5,10,1,2
2,39,22,5,7,1,2
2,57,22,7,10,1,6
1,76,24,6,7,2,3
2,39,25,8,5,1,2
1,53,14,5,7,1,2
2,32,22,7,3,2,2
2,77,24,4,3,2,1
2,78,22,9,1,2,5
1,42,22,5,10,2,9
2,36,22,9,8,1,3
2,42,19,5,4,1,2
2,56,22,6,7,1,3
1,64,15,9,5,6,NA
2,78,24,9,8,1,5
2,33,24,5,7,1,1
2,41,22,7,8,2,1
2,46,22,8,4,3,NA
1,49,16,6,10,1,2
1,41,15,9,10,1,1
2,80,24,6,6,1,2
2,67,14,7,7,1,3
2,41,22,8,8,1,3
1,28,22,9,10,1,1
2,44,22,9,6,2,9
1,28,22,9,NA,1,9
1,63,24,9,8,1,2
2,80,24,6,7,2,9
1,37,24,5,7,1,2
1,69,24,10,8,1,4
1,39,24,8,8,1,1
1,53,22,6,5,1,9
1,33,15,6,10,1,3
2,48,15,5,7,1,1
2,40,24,4,1,2,5
2,68,24,9,3,2,9
1,30,22,6,6,1,5
1,61,15,4,2,1,3
1,80,24,4,10,1,2
1,77,22,5,7,2,1
1,48,22,9,7,1,2
2,38,22,4,6,1,9
1,30,25,9,10,1,1
2,59,14,8,8,1,3
1,42,14,7,9,1,2
1,26,15,5,7,1,2
2,59,22,9,10,1,1
2,40,15,5,7,1,2
1,63,25,9,5,1,9
1,27,24,9,2,1,4
2,81,15,5,10,1,5
2,30,25,7,NA,1,9
2,63,22,9,9,1,1
1,66,14,9,9,1,1
2,68,15,8,7,1,2
1,28,14,6,10,1,2
1,23,15,5,9,1,3
2,42,15,7,8,1,5
2,35,16,5,6,1,1
1,69,22,10,7,NA,NA
2,42,25,7,6,1,9
1,48,22,7,8,1,2
2,77,22,9,1,NA,NA
2,61,22,9,7,2,1
1,39,22,8,6,1,2
2,11,15,7,7,1,2
1,28,24,10,10,1,1
1,34,15,9,10,1,1
2,67,22,6,5,1,3
1,49,22,11,10,1,1
1,59,24,8,10,1,1
2,33,24,5,9,1,9
2,69,22,9,8,1,1
1,55,22,5,8,1,2
1,40,24,5,9,1,1
1,67,25,5,6,1,2
1,76,22,7,8,1,3
2,75,15,8,NA,1,2
2,39,15,11,8,1,1
2,37,15,8,9,1,1
2,64,24,7,NA,1,1
1,57,22,10,5,2,5
2,40,14,8,10,1,2
2,78,22,5,3,1,9
1,34,14,7,10,1,2
2,77,22,6,NA,2,9
2,56,22,6,8,1,2
2,40,16,6,7,1,5
2,76,15,9,4,2,1
2,53,14,9,10,1,1
1,63,25,7,10,1,2
2,42,14,7,10,1,2
1,54,22,7,9,1,2
2,48,22,9,8,1,2
1,48,24,8,0,1,4
1,61,19,10,NA,1,1
1,26,22,10,10,1,9
2,67,15,5,3,2,3
2,68,15,7,NA,1,2
2,65,22,7,6,1,1
1,48,16,7,3,1,2
1,29,15,11,2,1,9
2,47,22,5,4,2,3
2,63,22,5,7,1,2
1,30,16,9,7,1,2
2,43,24,10,4,1,3
2,25,22,8,6,1,9
2,46,14,7,9,1,2
1,62,22,9,3,1,3
2,62,14,5,7,1,9
1,53,24,9,10,1,4
1,28,14,9,10,4,NA
2,52,14,9,8,1,2
1,56,22,9,6,2,1
2,62,24,8,1,1,3
1,37,22,9,8,1,2
1,52,22,10,10,1,1
1,46,25,9,NA,4,NA
2,42,22,6,10,1,1
1,48,22,9,10,1,2
1,76,24,9,8,1,1
2,62,22,10,6,2,3
3,53,14,9,8,1,2
2,61,22,7,7,1,9
1,67,24,9,7,1,1
1,80,22,3,9,1,1
1,42,15,7,10,1,2
2,29,14,5,7,1,2
2,20,22,9,10,1,1
2,22,16,6,10,1,2
2,34,24,8,9,1,1
2,68,22,7,10,1,5
2,32,14,6,5,1,9
2,63,24,9,4,1,5
2,60,24,5,3,1,2
2,35,14,9,7,1,1
2,68,22,5,4,1,3
1,38,24,5,7,1,2
1,28,22,11,6,2,1
1,26,24,9,7,1,1
2,55,15,7,5,1,9
2,32,24,9,9,1,4
2,69,14,8,8,1,3
2,67,14,7,1,2,3
1,40,24,7,8,1,9
2,51,22,9,8,1,3
1,30,24,8,7,1,9
1,23,22,11,8,1,2
1,20,14,7,10,1,2
2,45,22,5,7,1,3
2,79,22,8,5,2,1
1,41,24,5,8,1,2
2,68,22,6,2,3,NA
2,50,22,7,7,1,1
2,62,22,6,7,NA,NA
2,73,24,11,9,6,NA
1,31,14,8,8,1,2
1,47,22,10,9,1,1
1,76,22,6,7,1,3
2,58,22,5,3,3,NA
2,70,25,9,7,1,3
1,75,14,7,8,1,3
1,36,16,7,NA,1,2
2,17,24,7,9,1,5
2,39,22,6,9,1,1
1,48,14,10,9,1,2
2,75,15,9,5,3,NA
1,22,24,9,9,1,1
2,47,16,5,NA,1,9
1,46,14,9,8,1,1
2,64,14,9,6,1,3
2,33,22,3,1,3,NA
2,66,22,6,6,2,5
2,75,22,9,6,2,9
2,40,25,5,10,1,9
2,41,16,7,2,2,3
2,51,24,6,NA,6,NA
2,72,22,7,NA,1,5
2,73,25,9,9,1,3
